coded_v1
,equal,reqeduc,reqcomp,reqorg,call,gender,ethnicity,
83,0,1,1,0,0,1,1,
84,0,1,1,0,0,1,0,
85,0,0,0,0,0,1,0,
86,0,0,0,0,1,1,1,
87,0,0,0,0,0,1,1,
88,1,0,1,0,0,0,0,
89,1,0,1,0,0,0,1,
90,1,0,1,0,0,0,1,
91,0,0,0,0,0,0,0,
92,0,0,0,0,0,1,1,
93,1,0,1,0,0,0,0,
94,0,0,0,0,0,1,0,
95,1,0,1,0,0,0,0,
96,0,0,0,0,1,1,1,
97,0,0,0,0,0,1,0,
98,1,0,1,0,0,0,1,
99,1,0,1,0,0,0,0,
100,1,0,1,0,0,0,1,
101,1,0,1,0,0,0,0,
102,1,0,1,0,0,0,1,
103,0,0,0,0,0,1,0,
104,0,0,0,0,0,1,1,
105,0,1,1,0,0,0,1,
106,1,0,0,0,1,0,1,
107,0,1,1,0,0,0,0,
108,1,0,0,0,1,0,0,
109,0,0,0,0,0,0,0,
110,0,0,0,0,0,0,1,
111,1,0,1,0,0,1,1,
112,1,0,1,0,0,0,0,
113,1,0,1,0,0,0,1,
114,1,0,1,0,0,0,0,
115,1,0,1,0,0,0,1,
116,1,0,1,0,0,0,0,
117,1,0,1,0,0,0,1,
118,1,0,1,0,0,0,0,
119,1,0,1,0,0,0,0,
120,1,0,0,0,0,0,1,
121,1,0,0,0,0,0,0,
122,1,0,1,0,0,0,1,
123,0,0,0,0,0,0,1,
124,0,0,1,0,0,0,1,
125,0,0,0,0,0,0,0,
126,0,0,1,0,0,0,0,
127,0,0,0,0,1,0,0,
128,0,0,0,0,1,1,1,
129,1,0,0,0,0,0,0,
130,1,0,1,0,0,0,1,
131,1,0,1,0,0,0,1,
132,1,0,1,0,0,0,0,
133,1,0,0,0,0,1,1,
134,1,0,1,0,0,0,0,
135,0,0,1,0,0,0,1,
136,0,0,0,0,0,1,1,
137,0,0,1,0,0,0,0,
138,0,0,0,0,0,1,0,
139,1,1,1,0,0,0,0,
140,1,1,1,0,0,0,1,
141,1,1,1,0,0,0,1,
142,0,0,0,0,0,0,0,
143,1,1,1,0,0,0,0,
144,0,0,0,0,0,0,1,
145,0,0,0,0,0,1,0,
146,0,0,0,0,0,0,1,
147,1,0,1,0,0,0,1,
148,1,0,1,0,0,0,1,
149,1,0,1,0,0,0,0,
150,1,0,1,0,0,0,0,
151,0,0,0,0,0,1,1,
152,0,0,0,0,0,1,0,
153,0,0,1,0,0,0,1,
154,0,0,1,0,0,0,0,
155,0,0,1,0,0,0,0,
156,0,0,1,0,0,0,1,
157,0,0,0,0,0,0,0,
158,0,0,1,0,0,0,1,
159,0,0,1,0,0,0,0,
160,0,0,0,0,0,1,0,
161,0,0,0,0,0,0,1,
162,0,0,1,0,0,0,0,
163,0,0,1,0,0,0,1,
164,0,0,0,0,0,0,1,
165,0,0,1,0,0,0,1,
166,1,0,0,0,1,1,1,
167,1,0,0,0,0,1,0,
168,0,0,1,0,0,0,0,
169,1,0,0,0,1,1,1,
170,0,0,1,0,0,0,1,
171,0,0,1,0,0,0,0,
172,1,0,0,0,1,0,0,
173,1,0,0,0,0,0,0,
174,1,0,0,0,0,0,1,
175,1,0,0,0,0,0,1,
176,0,0,0,0,0,0,1,
177,0,0,0,0,0,1,1,
178,0,0,0,0,0,1,1,
179,1,1,0,0,0,1,1,
180,0,0,0,0,0,1,1,
181,0,0,0,0,0,0,0,
182,1,0,0,0,0,1,1,
183,1,0,0,0,0,1,1,
184,1,1,0,0,0,0,1,
185,1,1,0,0,0,0,0,
186,0,0,0,0,0,0,0,
187,1,0,0,0,0,0,0,
188,0,0,0,0,0,0,0,
189,1,1,0,0,0,0,0,
190,0,0,0,0,0,0,0,
191,1,0,0,0,0,0,0,
192,0,0,0,0,0,0,1,
193,1,1,0,0,0,1,1,
194,1,1,0,0,0,1,0,
195,1,1,0,0,0,0,1,
196,0,0,0,0,0,0,1,
197,1,0,0,0,0,0,0,
198,1,1,0,0,0,0,0,
199,0,0,0,0,0,0,0,
200,0,0,0,0,0,1,0,
201,1,0,1,0,1,0,0,
202,1,0,1,0,1,0,1,
203,0,0,0,0,0,0,1,
204,0,0,0,0,0,0,0,
205,0,0,0,0,0,0,1,
206,0,0,0,0,0,0,0,
207,0,0,1,0,0,0,1,
208,0,0,1,0,0,0,0,
209,0,0,1,0,0,0,0,
210,0,0,1,0,0,0,1,
211,0,0,1,1,1,0,1,
212,0,0,1,1,0,0,0,
213,0,0,1,1,0,0,0,
214,0,0,1,1,0,0,1,
215,0,0,0,0,0,0,1,
216,0,0,0,0,0,1,1,
217,0,0,0,0,0,0,0,
218,0,0,0,0,0,1,0,
219,0,0,0,0,0,0,0,
220,0,0,0,0,0,1,1,
221,0,0,1,0,0,0,1,
222,0,0,1,0,0,0,1,
223,0,0,1,0,0,0,0,
224,0,0,1,0,0,0,0,
225,0,0,1,1,0,0,0,
226,0,0,1,1,0,0,1,
227,0,0,1,1,0,0,0,
228,0,0,1,1,0,0,1,
229,0,0,0,0,0,0,1,
230,0,0,0,0,0,0,1,
231,0,0,0,0,0,0,0,
232,0,0,0,0,0,0,0,
233,0,0,1,0,0,0,1,
234,0,0,1,0,0,0,1,
235,0,0,1,0,0,0,0,
236,0,0,1,0,0,0,0,
237,0,0,1,0,0,0,0,
238,0,0,1,0,0,0,1,
239,0,0,0,0,0,0,1,
240,0,0,0,0,0,0,0,
241,0,0,1,0,0,0,0,
242,0,0,1,0,0,0,1,
243,0,0,1,1,0,0,0,
244,0,0,1,1,0,0,1,
245,0,0,1,1,0,0,0,
246,0,0,1,1,0,0,1,
247,0,0,1,1,0,0,1,
248,0,0,1,1,1,0,1,
249,0,0,1,1,0,0,0,
250,0,0,1,1,0,0,0,
251,0,1,1,0,0,0,1,
252,0,1,1,0,0,0,0,
253,0,1,1,0,0,0,1,
254,0,1,1,0,0,0,0,
255,0,0,1,0,0,0,0,
256,0,0,1,0,0,0,1,
257,0,0,1,0,0,0,0,
258,0,0,1,0,0,0,1,
259,0,0,1,0,0,1,1,
260,0,0,1,0,1,1,0,
261,1,0,1,0,0,0,1,
262,0,0,1,0,0,1,0,
263,0,0,1,0,0,1,1,
264,1,0,1,0,0,1,0,
265,0,0,0,0,0,1,1,
266,0,0,0,0,0,1,0,
267,0,0,0,0,0,1,1,
268,0,0,0,0,1,0,1,
269,0,0,0,0,0,1,0,
270,0,0,0,0,1,1,0,
271,1,0,0,0,1,0,1,
272,1,0,0,0,1,0,0,
273,1,0,0,0,1,0,1,
274,1,0,0,0,0,0,0,
275,0,0,0,0,0,0,0,
276,1,0,1,0,0,0,1,
277,1,0,1,0,0,0,1,
278,0,0,0,0,0,0,1,
279,1,0,1,0,0,0,0,
280,1,0,1,0,0,0,0,
281,0,0,1,0,0,0,0,
282,0,0,1,0,0,0,1,
283,0,0,1,0,0,0,1,
284,1,1,0,0,0,0,1,
285,0,0,1,0,0,0,0,
286,1,1,0,0,0,0,0,
287,0,0,1,0,0,0,0,
288,0,0,1,0,0,0,0,
289,0,0,1,0,0,0,1,
290,0,0,1,0,0,0,1,
291,0,0,0,0,0,0,0,
292,0,0,1,0,0,0,1,
293,0,0,0,0,0,0,1,
294,0,0,1,0,0,0,1,
295,0,0,1,0,0,0,0,
296,0,0,1,0,0,0,0,
297,1,0,1,0,0,0,1,
298,1,0,1,0,0,0,1,
299,1,0,1,0,0,0,0,
300,1,0,1,0,0,0,0,
301,1,0,0,0,0,0,1,
302,1,0,0,0,0,0,1,
303,1,0,0,0,0,0,0,
304,1,0,0,0,0,0,0,
305,0,0,0,0,0,0,0,
306,0,0,0,0,0,1,1,
307,0,0,1,0,0,0,0,
308,0,0,1,0,0,0,1,
309,0,0,1,0,0,0,1,
310,0,0,1,0,0,0,0,
311,0,1,1,0,0,0,1,
312,0,0,0,0,0,0,1,
313,0,1,1,0,0,0,0,
314,0,1,1,0,0,0,0,
315,0,1,1,0,0,0,1,
316,0,0,0,0,0,1,0,
317,0,0,1,0,0,0,1,
318,0,0,1,0,0,0,1,
319,0,0,1,0,0,0,0,
320,0,0,1,0,0,0,0,
321,0,1,1,0,0,0,0,
322,0,1,1,0,0,0,1,
323,0,1,1,0,0,0,0,
324,0,1,1,0,0,0,1,
325,0,0,1,0,0,0,1,
326,0,0,1,0,0,0,1,
327,0,0,1,0,0,0,0,
328,0,0,0,0,0,0,1,
329,0,0,1,0,0,0,0,
330,0,0,0,0,0,1,0,
331,0,0,0,0,0,1,1,
332,0,0,0,0,0,0,0,
333,0,0,0,0,0,0,1,
334,0,0,0,0,0,0,1,
335,0,0,0,0,0,0,0,
336,0,0,0,0,0,0,0,
337,0,0,1,0,0,0,1,
338,0,0,1,0,0,0,0,
339,0,0,1,0,0,0,0,
340,0,0,0,0,0,0,1,
341,0,0,1,0,0,0,1,
342,0,0,0,0,0,1,0,
343,0,0,0,0,0,0,1,
344,0,0,0,0,0,0,1,
345,0,0,0,0,0,0,0,
346,0,0,0,0,0,0,0,
347,0,1,0,0,0,0,1,
348,0,1,0,0,0,1,0,
349,0,1,0,0,1,1,1,
350,0,1,0,0,0,0,0,
351,0,0,0,0,0,0,1,
352,0,0,0,0,0,0,1,
353,0,0,0,0,0,0,0,
354,0,0,0,0,0,1,0,
355,0,0,0,0,0,0,0,
356,0,0,0,0,0,0,0,
357,0,0,0,0,0,1,1,
358,1,1,0,0,0,1,1,
359,0,0,0,0,0,1,1,
360,1,1,0,0,0,0,0,
361,0,0,0,0,0,1,1,
362,1,1,0,0,0,1,1,
363,0,0,0,0,0,1,1,
364,0,0,0,0,0,1,1,
365,1,1,0,0,0,1,0,
366,0,0,0,0,0,1,1,
367,0,0,0,0,0,1,0,
368,0,0,0,0,0,1,0,
369,0,1,0,0,0,1,0,
370,0,0,0,0,0,0,0,
371,0,0,0,0,0,1,0,
372,0,1,0,0,0,0,1,
373,0,0,0,0,0,0,1,
374,0,1,0,0,0,0,1,
375,0,1,0,0,0,0,0,
376,0,0,0,0,0,0,0,
377,0,0,0,0,0,1,1,
378,0,0,0,0,0,1,0,
379,0,0,0,0,0,0,1,
380,0,0,0,0,0,0,0,
381,0,0,0,0,0,0,0,
382,0,0,0,0,0,0,1,
383,1,1,1,0,1,0,1,
384,1,1,1,0,1,1,0,
385,1,1,1,0,0,1,1,
386,1,1,1,0,0,1,0,
387,1,0,0,0,0,0,1,
388,1,0,0,0,0,0,0,
389,1,0,0,0,1,1,1,
390,1,0,0,0,0,0,0,
391,0,0,1,0,0,0,1,
392,0,0,1,0,0,0,0,
393,0,0,1,0,0,0,1,
394,0,0,1,0,0,0,0,
395,0,0,0,0,0,0,0,
396,0,0,0,0,0,0,1,
397,0,0,0,0,0,0,1,
398,0,0,0,0,0,0,0,
399,0,0,1,0,0,0,1,
400,0,0,1,0,0,0,1,
401,0,0,1,0,0,0,0,
402,0,0,1,0,0,1,0,
403,0,0,1,0,0,0,1,
404,0,0,1,0,0,0,0,
405,0,0,1,0,0,0,1,
406,0,0,1,0,0,0,0,
407,0,0,0,0,0,1,1,
408,0,0,0,0,0,1,0,
409,0,0,1,0,0,0,0,
410,0,0,1,0,0,0,1,
411,0,0,1,0,0,0,1,
412,0,0,1,0,0,0,0,
413,0,0,0,0,0,1,0,
414,0,0,0,0,1,0,1,
415,0,0,0,0,0,1,1,
416,0,0,0,0,0,0,0,
417,0,0,0,0,0,0,0,
418,0,0,0,0,0,0,1,
419,0,0,0,0,0,0,1,
420,0,0,0,0,0,0,0,
421,0,0,0,0,0,0,1,
422,0,0,0,0,0,1,0,
423,0,0,0,0,0,1,1,
424,0,0,0,0,0,1,0,
425,0,0,1,0,0,0,1,
426,0,0,1,0,0,0,1,
427,0,0,1,0,1,0,0,
428,0,0,1,0,1,0,0,
429,0,0,0,0,0,0,1,
430,0,0,0,0,0,0,0,
431,0,0,0,0,0,0,1,
432,0,0,0,0,0,0,0,
433,0,0,1,0,0,0,1,
434,0,0,1,0,0,0,1,
435,0,0,1,0,0,0,0,
436,0,0,1,0,0,0,0,
437,0,0,0,0,0,1,1,
438,0,0,0,0,0,0,1,
439,0,0,0,0,0,1,0,
440,0,0,0,0,0,1,0,
441,1,0,0,0,0,0,1,
442,1,0,0,0,0,0,0,
443,1,0,0,0,1,1,1,
444,1,0,0,0,0,0,0,
445,1,0,1,0,0,0,0,
446,1,0,1,0,0,0,1,
447,1,0,1,0,0,0,0,
448,1,0,1,0,1,0,1,
449,0,0,0,0,0,0,1,
450,0,0,0,0,0,0,1,
451,0,0,0,0,0,0,0,
452,0,0,0,0,0,0,0,
453,0,0,1,1,0,0,0,
454,0,0,1,1,0,0,1,
455,0,0,1,1,0,0,0,
456,0,0,1,1,0,0,1,
457,1,1,1,0,0,0,1,
458,1,1,1,0,0,0,1,
459,1,1,1,0,0,0,0,
460,1,1,1,0,0,0,0,
461,0,0,0,1,0,0,1,
462,0,0,0,1,0,0,1,
463,0,0,0,1,0,0,0,
464,0,0,0,1,0,0,0,
465,0,0,1,0,0,0,0,
466,0,0,1,0,0,0,1,
467,0,0,1,0,0,0,0,
468,0,0,1,0,0,0,1,
469,0,0,0,0,0,0,1,
470,0,0,0,0,0,0,0,
471,0,0,0,0,0,0,1,
472,0,0,0,0,0,0,0,
473,0,0,1,0,1,0,1,
474,0,0,1,0,0,0,0,
475,0,0,1,0,1,0,0,
476,0,0,1,0,1,0,1,
477,0,0,0,0,1,0,0,
478,0,0,0,0,1,0,1,
479,0,0,0,0,1,0,0,
480,0,0,0,0,1,0,1,
481,0,0,1,0,0,0,1,
482,0,0,1,0,0,0,0,
483,0,0,1,0,0,0,0,
484,0,0,1,0,0,0,1,
485,0,0,1,0,0,0,1,
486,0,0,1,0,0,0,0,
487,0,0,1,0,0,0,1,
488,0,0,1,0,0,0,0,
489,0,1,1,1,0,0,1,
490,0,1,1,1,0,0,1,
491,0,1,1,1,0,0,0,
492,0,1,1,1,0,0,0,
493,1,0,1,0,0,0,1,
494,1,0,1,0,0,0,1,
495,0,0,0,0,0,0,0,
496,0,0,0,0,0,0,1,
497,0,0,0,0,0,0,0,
498,1,0,1,0,0,0,0,
499,1,0,1,0,0,0,0,
500,0,0,0,0,0,1,1,
501,1,0,1,0,0,0,1,
502,1,0,1,0,0,0,1,
503,1,0,1,0,0,0,0,
504,1,0,1,0,0,0,0,
505,1,1,1,0,0,0,0,
506,1,1,1,0,0,0,1,
507,1,1,1,0,0,0,1,
508,1,1,1,0,0,0,0,
509,0,0,0,0,0,0,0,
510,0,0,0,0,0,0,1,
511,0,0,0,0,0,0,1,
512,0,0,0,0,0,0,0,
513,0,0,1,0,0,0,1,
514,0,0,1,0,0,0,0,
515,0,0,1,0,0,0,1,
516,0,0,1,0,0,0,0,
517,0,0,0,0,0,0,1,
518,0,0,0,0,0,0,0,
519,0,0,0,0,0,0,1,
520,0,0,0,0,0,0,0,
521,0,0,1,0,0,0,1,
522,0,0,1,0,0,0,0,
523,1,0,1,0,0,0,1,
524,1,0,1,0,0,0,0,
525,1,0,1,0,0,0,1,
526,1,0,1,0,0,0,0,
527,0,0,1,0,0,0,1,
528,0,0,1,0,0,0,1,
529,0,0,1,0,0,0,0,
530,0,0,1,0,0,0,0,
531,1,0,1,0,0,0,1,
532,1,0,1,0,0,0,0,
533,1,0,1,0,0,0,0,
534,1,0,1,0,0,0,1,
535,0,1,0,0,0,0,0,
536,0,1,0,0,0,0,1,
537,0,0,0,0,0,0,1,
538,0,0,0,0,0,1,0,
539,0,1,0,0,0,0,1,
540,0,1,0,0,0,0,0,
541,0,0,1,0,0,0,0,
542,0,0,1,0,0,0,0,
543,0,0,1,0,0,0,1,
544,0,0,1,0,0,0,1,
545,1,0,0,0,0,0,0,
546,1,0,0,0,0,0,1,
547,1,0,0,0,0,0,1,
548,0,0,0,0,0,0,1,
549,0,0,0,0,0,0,1,
550,0,0,0,0,0,1,1,
551,0,0,0,0,0,1,1,
552,1,0,0,0,0,1,0,
553,0,0,0,0,0,0,1,
554,0,0,0,0,0,1,1,
555,0,0,0,0,0,1,1,
556,0,0,0,0,0,1,0,
557,0,0,0,0,0,1,0,
558,0,0,0,0,0,1,1,
559,0,0,0,0,0,1,0,
560,1,0,0,0,0,1,0,
561,0,0,0,0,0,0,0,
562,0,0,0,0,0,0,0,
563,0,0,0,0,0,0,0,
564,0,0,0,0,0,0,0,
565,0,0,0,0,0,0,1,
566,1,0,0,0,0,1,1,
567,1,0,0,0,0,1,1,
568,0,0,0,0,0,1,0,
569,1,0,0,0,0,0,0,
570,0,0,0,0,0,0,0,
571,0,0,0,0,0,1,1,
572,0,0,0,0,0,1,0,
573,1,0,0,0,0,1,1,
574,1,0,0,0,0,0,0,
575,1,0,0,0,0,1,0,
576,1,0,0,0,0,1,1,
577,0,0,1,0,1,0,0,
578,0,0,1,0,1,0,1,
579,0,0,1,0,0,0,0,
580,0,0,1,0,0,0,1,
581,0,0,0,0,0,0,0,
582,0,0,0,0,0,0,0,
583,0,0,0,0,1,0,1,
584,0,0,0,0,0,0,1,
585,1,1,0,0,0,1,0,
586,1,1,0,0,0,1,1,
587,1,1,0,0,0,0,1,
588,1,1,0,0,0,1,0,
589,0,0,0,0,0,0,1,
590,0,0,0,0,0,0,0,
591,0,0,0,0,0,0,1,
592,0,0,0,0,0,0,0,
593,0,0,0,0,1,0,1,
594,0,0,0,0,0,0,0,
595,0,0,0,0,0,0,0,
596,0,0,0,0,1,0,1,
597,0,0,1,0,0,0,1,
598,0,0,1,0,0,0,1,
599,0,0,1,0,0,0,0,
600,0,0,1,0,0,0,0,
601,0,0,0,0,1,0,1,
602,0,0,0,0,0,1,1,
603,0,0,0,0,0,1,0,
604,0,0,0,0,0,0,0,
605,1,0,0,0,0,0,0,
606,1,0,0,0,0,0,1,
607,1,0,0,0,0,0,1,
608,1,0,0,0,0,0,0,
609,0,0,1,1,0,0,1,
610,0,0,1,1,0,0,0,
611,0,0,1,1,0,0,0,
612,0,0,1,1,0,0,1,
613,0,0,0,0,0,0,1,
614,0,0,0,0,0,0,0,
615,0,0,0,0,0,0,0,
616,0,0,0,0,0,0,1,
617,0,0,1,1,0,0,1,
618,0,0,1,1,0,0,0,
619,0,0,1,1,0,0,0,
620,0,0,1,1,0,0,1,
621,0,0,1,1,0,0,0,
622,0,0,1,1,0,0,1,
623,0,0,1,1,0,0,1,
624,0,0,1,1,0,0,0,
625,0,0,1,1,0,0,1,
626,0,0,1,1,0,0,0,
627,0,0,1,1,0,0,1,
628,0,0,1,1,0,0,0,
629,0,0,0,0,0,0,0,
630,0,0,0,0,0,0,1,
631,0,0,0,0,0,0,1,
632,0,0,0,0,0,0,0,
633,0,0,1,0,0,0,1,
634,0,0,1,0,0,0,0,
635,0,0,1,0,0,0,0,
636,0,0,1,0,0,0,1,
637,1,0,1,0,0,0,0,
638,1,0,1,0,0,0,0,
639,1,0,1,0,0,0,1,
640,1,0,1,0,0,0,1,
641,0,1,0,1,0,0,1,
642,0,1,0,1,0,0,1,
643,0,1,0,1,0,0,0,
644,0,1,0,1,0,0,0,
645,1,0,1,0,0,0,1,
646,1,0,1,0,0,0,1,
647,1,0,1,0,0,0,0,
648,1,0,1,0,0,0,0,
649,0,0,0,0,0,0,1,
650,1,0,1,0,0,0,1,
651,1,0,1,0,0,0,0,
652,0,0,0,0,0,0,0,
653,1,0,1,0,0,0,1,
654,1,0,1,0,0,0,0,
655,1,0,1,0,0,0,1,
656,1,0,1,0,0,0,1,
657,1,0,1,0,0,0,0,
658,1,0,1,0,0,0,0,
659,1,0,1,0,0,0,1,
660,1,0,1,0,0,0,0,
661,1,0,1,0,0,0,1,
662,1,0,1,0,0,0,0,
663,0,0,1,0,0,0,1,
664,0,0,1,0,0,0,0,
665,0,0,1,0,0,0,1,
666,0,0,1,0,0,0,0,
667,1,0,1,0,0,0,1,
668,1,0,1,0,0,0,0,
669,1,0,1,0,0,0,1,
670,1,0,1,0,0,0,0,
671,0,0,1,0,0,0,1,
672,0,0,1,0,0,0,0,
673,0,0,1,0,0,0,1,
674,0,0,1,0,0,0,0,
675,1,0,1,0,0,0,1,
676,1,0,1,0,0,0,0,
677,1,0,1,0,0,0,0,
678,1,0,1,0,0,0,1,
679,1,0,0,0,0,0,1,
680,1,0,0,0,0,0,0,
681,1,0,0,0,0,0,1,
682,1,0,0,0,0,0,0,
683,0,0,1,0,0,0,1,
684,0,0,1,0,0,0,0,
685,0,0,1,0,0,0,0,
686,0,0,1,0,0,0,1,
687,0,0,1,0,0,0,0,
688,0,0,1,0,0,0,1,
689,0,0,1,0,0,1,1,
690,0,0,1,0,0,0,0,
691,0,0,1,0,0,0,1,
692,0,0,1,0,0,0,0,
693,0,0,1,0,0,0,1,
694,0,0,1,0,0,0,0,
695,0,0,0,0,0,0,0,
696,0,0,0,1,0,0,1,
697,1,0,0,0,0,0,1,
698,0,0,0,0,0,0,1,
699,0,0,0,0,0,1,1,
700,0,0,0,1,0,1,1,
701,0,0,0,0,0,1,1,
702,1,0,0,0,0,0,1,
703,0,0,0,0,0,0,1,
704,0,0,0,0,0,0,1,
705,0,0,0,0,0,1,0,
706,0,0,0,0,0,1,1,
707,1,0,0,0,0,1,1,
708,0,0,0,0,0,1,0,
709,0,0,0,0,0,0,1,
710,1,0,0,0,0,1,0,
711,0,0,0,1,0,1,0,
712,1,0,0,0,0,1,0,
713,1,0,0,0,0,0,0,
714,0,0,0,0,0,0,0,
715,0,0,0,1,0,0,0,
716,0,0,0,0,0,0,0,
717,0,0,0,0,0,0,1,
718,0,0,0,0,0,1,0,
719,0,0,0,0,0,1,1,
720,1,0,0,0,0,1,0,
721,1,0,0,0,0,0,1,
722,0,0,0,0,0,0,1,
723,0,0,0,0,0,0,0,
724,0,0,0,0,0,0,0,
725,0,0,0,0,0,1,0,
726,0,0,0,0,0,1,0,
727,0,0,0,0,0,0,1,
728,0,0,0,0,0,0,0,
729,0,0,0,0,0,0,1,
730,0,0,0,0,0,0,0,
731,1,1,1,0,0,0,0,
732,1,1,1,0,0,0,1,
733,1,1,1,0,0,0,0,
734,1,1,1,0,0,0,1,
735,0,0,0,0,1,0,1,
736,0,0,0,0,1,0,0,
737,0,0,0,0,0,0,1,
738,0,0,0,0,0,0,0,
739,0,0,1,0,0,0,1,
740,0,0,1,0,0,1,0,
741,0,0,1,0,0,1,1,
742,0,0,1,0,0,0,0,
743,1,0,1,0,0,0,0,
744,1,0,1,0,0,0,1,
745,1,0,1,0,0,0,1,
746,1,0,1,0,0,0,0,
747,0,0,0,0,0,0,1,
748,0,0,0,0,0,0,0,
749,1,0,0,0,0,0,1,
750,1,0,0,0,0,0,0,
751,1,0,0,0,0,0,0,
752,1,0,0,0,0,0,1,
753,0,0,1,0,0,0,1,
754,0,0,1,0,0,0,1,
755,0,0,1,0,0,0,0,
756,0,0,1,0,0,0,0,
757,0,0,0,0,1,0,1,
758,0,0,0,0,0,0,0,
759,0,0,0,0,1,0,1,
760,0,0,0,0,0,0,0,
761,0,0,1,0,0,0,1,
762,0,0,1,0,0,0,1,
763,0,0,1,0,0,0,0,
764,0,0,1,0,0,0,0,
765,0,0,1,0,1,0,0,
766,0,0,1,0,1,0,1,
767,0,0,1,0,0,0,1,
768,0,0,1,0,0,0,0,
769,0,0,0,1,0,0,0,
770,0,0,0,1,0,0,0,
771,0,0,0,1,0,0,1,
772,0,0,0,1,0,0,1,
773,1,0,0,0,0,0,1,
774,1,0,0,0,0,0,0,
775,0,0,1,1,0,0,1,
776,0,0,1,1,0,0,0,
777,1,1,1,0,0,0,1,
778,1,1,1,0,0,0,0,
779,1,1,1,0,0,0,0,
780,1,1,1,0,0,0,1,
781,0,0,0,0,0,0,0,
782,0,0,0,0,0,0,1,
783,0,0,0,0,0,0,0,
784,0,0,0,0,0,0,1,
785,0,0,0,0,0,0,1,
786,0,0,0,0,0,0,0,
787,0,0,1,1,0,0,1,
788,0,0,1,1,0,0,0,
789,0,0,1,1,0,0,1,
790,0,0,1,1,0,0,0,
791,0,0,1,0,0,0,1,
792,0,0,1,0,0,0,0,
793,0,0,1,0,0,0,0,
794,0,0,1,0,0,0,1,
795,1,0,1,0,0,0,0,
796,1,0,1,0,0,0,1,
797,0,1,1,0,0,0,1,
798,0,1,1,0,0,0,1,
799,0,1,1,0,0,0,0,
800,0,1,1,0,0,0,0,
801,0,0,1,0,0,0,1,
802,0,0,1,0,0,0,1,
803,0,0,1,0,0,0,0,
804,0,0,1,0,0,0,0,
805,0,0,1,0,0,0,0,
806,0,0,1,0,0,0,1,
807,0,0,1,0,1,0,1,
808,0,0,1,0,0,0,0,
809,0,0,0,0,0,0,0,
810,0,0,0,0,0,0,1,
811,0,0,0,0,0,0,1,
812,0,0,0,0,0,0,0,
813,0,0,1,0,0,0,1,
814,0,0,1,0,0,0,1,
815,0,0,1,0,0,0,0,
816,0,0,1,0,0,0,0,
817,1,0,0,0,0,0,1,
818,1,0,0,0,0,0,0,
